STRUCTURE_NUMBER_008,ADT_029,STRUCTURE_LEN_MT_049,DECK_WIDTH_MT_052,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060
11872,2003,15.5,20.3,N,N,N
11873,20361,46,13,7,8,8
11874,495,88.1,9,8,9,9
11875,9545,49.7,12.2,8,9,8
11876,20154,95.7,25.4,7,8,8
11877,41703,59.1,20.6,8,9,9
11878,39301,361.8,12.6,7,9,8
11879,1553,60.4,9,6,6,7
1188,4945,80.5,9.6,7,7,6
11880,4089,47.2,12.2,7,8,8
11881,478,65.2,11.6,8,8,9
11882,2718,15.1,0,N,N,N
11883,1093,15.3,0,N,N,N
11884,476,130.5,11,7,8,9
11885,1026,8.5,0,N,N,N
11886,366,68.3,11.6,7,9,8
11887,4297,117,12.2,6,9,9
11888,15945,87.8,22.4,7,9,9
11889,1380,103,12.8,7,9,9
1189,4945,80.5,9.6,7,7,6
11890,4297,75.9,10.6,9,6,7
11891,15474,7.6,0,N,N,N
11893,1316,44.5,7.8,7,8,8
11894,5929,73.2,12.6,7,7,8
11895,11492,491.6,12.6,7,7,8
11896,454,7.6,0,N,N,N
11897,10781,60.4,15.8,7,7,7
11898,34400,51.8,59,7,7,7
11899,8303,139,12.2,6,7,7
1190,4945,72.5,9.6,7,7,6
11900,8065,140.2,12.2,6,6,7
11901,93655,76.8,8.2,3,3,5
11902,6832,200.6,7.4,5,5,6
11903,14534,61.9,17,7,7,8
11904,1770,103.6,14,7,7,5
11905,34223,76.8,12.6,7,6,7
11906,662,43.6,11.6,8,8,9
11907,10199,40.5,54.5,6,6,7
11908,4988,97.8,12.8,7,8,7
11909,161033,61.3,36,6,7,7
1191,302,9,12.8,N,N,N
11910,1500,86,16.6,7,8,7
11912,3821,30.2,9.6,5,5,6
11913,5934,25.6,9.6,5,5,7
11914,7211,320.3,10.6,7,7,6
11915,6022,29,12.2,7,7,8
11916,6058,320,12.2,7,7,7
11917,3585,30.5,12.2,8,9,9
11918,7049,82,12.2,7,7,8
11919,8076,98.5,39.8,7,6,7
1192,3494,40.8,10.5,6,6,7
11920,6484,72.8,21.2,6,7,7
11922,9545,47.2,15.1,8,9,9
11923,8964,47.2,12.6,8,9,9
11924,13849,7.6,0,N,N,N
11925,12608,46.9,9.6,5,7,7
11926,12936,96.3,9.6,8,6,7
11927,580,78,12.8,7,8,5
11928,580,8.6,12.8,N,N,N
11929,6015,83.8,15.3,7,7,9
1193,3494,38.4,10.5,6,7,7
11930,3022,64,12.6,7,8,8
11931,11480,491.6,12.6,7,8,6
11932,3545,121.3,12.6,6,9,6
11933,3765,76.5,9,6,8,9
11934,11649,92.7,12.6,7,8,9
11935,6057,70.4,12.8,7,9,7
11936,4855,14,0,N,N,N
11937,5555,233.2,12.6,7,8,7
11938,37152,1367.6,13.3,6,7,7
11939,3840,87.5,12.2,7,9,8
1194,3494,38.7,10.5,5,7,7
11941,4089,86,12.2,7,9,7
11942,6270,381.3,14,7,7,6
11943,3296,43.9,12.8,7,8,8
11944,5681,49.7,17.2,8,8,8
11945,5782,49.7,12.2,8,8,9
11946,4635,77.4,16.6,7,4,7
11947,20200,90.2,12.2,7,7,8
11948,6340,83.8,14.8,8,9,9
11949,13918,96,12.2,7,7,8
1195,1954,14.4,13,N,N,N
11950,5459,39.3,12.8,7,7,7
11951,5459,95.4,12.8,6,7,7
11952,1345,68.3,12.8,7,7,8
11953,2952,57.3,23.6,7,8,8
11954,8689,73.8,12.8,7,8,8
11955,8689,9.2,0,N,N,N
11956,5002,54.9,14,7,6,7
11957,11492,83.8,12.2,7,8,9
11958,8708,78.6,12.2,8,8,9
11959,2869,174.3,12.8,7,9,8
1196,1954,9.8,0,N,N,N
11960,7639,9.5,0,N,N,N
11961,10526,79.2,12.2,7,9,7
11962,9319,79.2,12.2,7,9,8
11963,1334,54.3,11.8,7,9,7
11964,5140,93.3,12.2,8,9,7
11965,5140,552,12.2,7,9,8
11966,5123,552,12.2,9,9,8
11967,2235,42.4,11.6,7,9,9
11968,2235,110.3,11.6,7,9,8
11969,926,32.7,12.8,6,6,7
1197,3483,12.5,0,N,N,N
11970,7754,9.4,0,N,N,N
11971,2002,46.9,12.8,7,8,9
11972,7586,68.9,12.2,8,8,9
11973,7908,68.9,12.2,8,8,9
11974,3831,82.9,12.3,6,7,7
11975,1238,92.4,16.4,7,9,8
11976,1584,69.5,12.8,7,8,8
11977,71702,103,35.6,7,9,8
11978,7971,7.6,12.3,N,N,N
11979,5782,60,12.2,7,8,8
1198,5942,153.6,10.6,8,8,7
11980,622,6.4,0,N,N,N
11981,325,13.7,17,N,N,N
11982,243,40.2,10.6,7,6,8
11983,4559,7.7,0,N,N,N
11987,18126,6.4,0,N,N,N
11988,18126,66.8,21.3,7,6,8
11989,37786,50.3,20.7,8,9,8
1199,5570,69.2,9.3,6,7,7
11990,40087,50.3,20.7,8,9,8
11991,37786,41.1,20.7,8,7,8
11992,40087,41.1,20.7,8,9,8
11993,37786,37.5,21,8,8,9
11994,40087,37.5,25.1,8,9,8
11995,7862,70.7,26.5,8,8,8
11996,37786,153,20.8,8,8,9
11997,40087,153,17.6,8,8,7
11998,37786,58.8,20.5,8,9,8
11999,40087,58.8,20.5,8,9,8
12,8324,7,0,N,N,N
120,6442,53.9,13.5,6,6,6
1200,1530,29.6,9,6,6,6
12000,37786,59.4,17.5,8,9,8
12001,40087,59.4,17.5,8,9,8
12002,13030,61.6,12.6,7,7,9
12003,13030,342.9,12.6,7,7,8
12004,468,11.4,0,N,N,N
12005,468,11.8,0,N,N,N
12006,468,15.1,0,N,N,N
12007,5054,222.8,12.2,7,8,7
12008,4725,128.6,12.2,8,7,8
12009,4424,128.6,12.2,7,7,8
1201,850,32,9,6,6,5
12010,15405,33.2,67.4,7,8,8
12011,9600,83.8,11.6,7,7,8
12012,173294,43,54.1,6,6,7
12013,148461,46.3,48.4,6,6,7
12014,144117,87.2,52.8,6,9,7
12015,5939,98.1,12.8,7,9,8
12016,11634,78.9,15.5,6,7,6
12017,6523,156.1,12.8,7,9,9
12018,195206,46.6,41.1,7,8,7
12019,173037,34.1,41.2,7,7,7
1202,3126,35.7,9.4,5,7,6
12020,91605,51.5,21.4,7,7,8
12021,89438,51.5,23.8,7,7,7
12022,106383,35.7,21.7,7,7,7
12023,102254,35.7,21.9,7,7,7
12024,14886,45.1,70,7,7,8
12025,145863,70.4,34.7,6,7,8
12026,39303,58.2,30.1,7,7,7
12027,25634,57.3,33.1,6,8,8
12028,14698,98.1,28.6,7,8,7
12029,5148,16.2,0,N,N,N
1203,6385,75.6,10.5,6,7,6
12030,11611,97.8,9.6,6,6,6
